"Fisher","Month","Year","Days_Fished","Total_Income","Total_Catch"
"F071","October","2013",4,331950,281
"F071","October","2015",2,109500,83
"F071","October","2016",1,44500,32
"F071","November","2012",14,1394950,1300
"F071","December","2015",2,186650,161
"F071","December","2016",1,44600,35
"F072","July","2015",4,243000,140
"F072","August","2015",1,24000,27
"F073","August","2018",1,59062.5,37
"F074","January","2012",2,157875,93.25
"F074","January","2013",5,618087.5,284.416666666667
"F074","January","2017",8,669500,497
"F074","January","2018",5,518575,388
"F074","January","2019",14,1423750,752
"F074","January","2023",18,3869636.52803952,2350.5
"F074","February","2013",11,1209641.66666667,845.583333333333
"F074","February","2016",17,2952350,1959
"F074","February","2017",5,1303000,675
"F074","February","2018",6,635550,319.25
"F074","February","2019",20,2504750,1223.75
"F074","February","2023",9,1489285.53711893,971.5
"F074","March","2012",7,790747.267413886,468
"F074","March","2013",1,37725,24
"F074","March","2016",16,2672400,1960
"F074","March","2017",8,1177400,792
"F074","March","2018",16,1837475,1170
"F074","March","2019",12,2110925,839.25
"F074","March","2023",9,892601.416494001,526
"F074","April","2012",8,866382.706496751,562
"F074","April","2016",17,2119750,1546
"F074","April","2017",1,2597300,1605
"F074","April","2018",22,3546862.5,1930.75
"F074","April","2019",21,2662687.5,1238.5
"F074","April","2023",3,311018.405239492,186.75
"F074","May","2012",21,2760450,2111.75
"F074","May","2013",2,222850,140.333333333333
"F074","May","2016",27,8620050,4414
"F074","May","2017",1,1640100,1071
"F074","May","2018",13,1471275,844.5
"F074","May","2019",19,3486325,1462
"F074","May","2022",1,345657.648646607,179
"F074","May","2023",12,1379954.51821057,903
"F074","June","2012",14,3822450,1813
"F074","June","2013",5,556175,272
"F074","June","2016",5,1217950,596
"F074","June","2017",11,4821250,1506
"F074","June","2018",25,3703071.59304511,1769.25
"F074","June","2019",24,4661625,1726.75
"F074","June","2022",1,285339.084091675,112
"F074","June","2023",14,1900540.82584313,1097
"F074","July","2016",14,4529950,2021
"F074","July","2017",20,2519600,1260.5
"F074","July","2018",19,2989666.66666667,1202.33333333333
"F074","July","2019",13,1552975,762.5
"F074","July","2023",5,594087.439684257,360
"F074","August","2012",4,539525.354160728,291.5
"F074","August","2016",9,2087050,1120
"F074","August","2017",12,2076612.5,970.75
"F074","August","2018",22,5300291.66666667,1153.83333333333
"F074","August","2023",2,334731.033428868,132
"F074","September","2012",1,8750,3
"F074","September","2017",16,3935075,1335.75
"F074","September","2018",27,5027875,1496.5
"F074","September","2023",4,292898.363636364,167
"F074","October","2012",1,186250,42.5
"F074","October","2017",14,2971908.33333333,1198.33333333333
"F074","October","2018",17,3073250,1188.75
"F074","October","2023",7,1071026.64769605,695
"F074","November","2012",8,923400,479.75
"F074","November","2016",3,541400,359
"F074","November","2017",12,1680025,907.333333333333
"F074","November","2018",3,506875,158.25
"F074","November","2023",3,233147.168396343,125
"F074","December","2012",4,694000,401.5
"F074","December","2016",13,2148600,1483
"F074","December","2017",18,2008716.66666667,1205.20833333333
"F074","December","2018",5,397875,252.75
"F074","December","2022",5,2027121.54170008,951
"F074","December","2023",14,4908495.37613392,2289
"F075","February","2013",3,337750,192.2
"F076","February","2013",1,25000,1
"F077","March","2013",2,88950,110
"F077","April","2013",5,400559.536945052,513
"F077","May","2013",6,749994.444444444,1092
"F077","June","2013",20,1576300,1745
"F077","July","2013",12,776006.909238494,585
"F077","September","2013",9,402500,220
"F077","October","2013",16,1386350,1226
"F077","November","2013",18,1816000,1676
"F077","December","2013",5,370500,37
"F078","April","2013",1,58826.9293514389,45
"F079","July","2013",2,125400,98
"F080","January","2012",4,385000,370
"F080","January","2013",3,238550,156
"F080","February","2013",10,1681000,1098.45
"F080","March","2012",1,60400,19
"F080","March","2018",5,736450,338
"F080","April","2012",1,112300,51
"F080","May","2012",3,196000,159
"F080","May","2018",2,250500,170
"F080","June","2012",7,998500,855
"F080","June","2018",2,415250,272
"F080","August","2012",1,195640.751310877,140
"F080","August","2018",12,2236750,1267
"F080","November","2012",5,861300,518
"F080","November","2018",11,2127500,1067
"F080","December","2012",4,916750,567
"F080","December","2018",3,434500,239
"F082","March","2013",3,157600,108
"F082","April","2013",9,708398.606228887,763
"F082","May","2013",11,830850,957
"F082","June","2013",24,2122550,2606
"F082","July","2013",17,1471800.09599629,1640
"F082","August","2013",5,293350,263
"F082","October","2013",1,59750,87
"F083","March","2012",3,243029.623716826,237
"F083","April","2012",2,173404.888767482,161
"F083","April","2016",2,114250,79
"F083","May","2012",4,388300,367
"F083","July","2012",2,243500,308
"F083","August","2012",1,590300,126
"F085","January","2013",3,762000,331
"F085","January","2015",1,569250,457
"F085","January","2016",1,569250,457
"F085","January","2017",3,394500,215
"F085","January","2023",2,243000,53
"F085","February","2012",6,598100,566
"F085","February","2023",2,405000,52
"F085","March","2012",5,401150,319
"F085","March","2016",5,710500,429
"F085","April","2016",2,346250,239
"F085","April","2017",3,773000,375
"F085","April","2022",1,182500,76
"F085","May","2012",3,474770.326376238,465
"F085","May","2013",2,467000,428
"F085","May","2023",1,112093.71,22
"F085","June","2012",4,533700,305
"F085","June","2013",2,636000,521
"F085","June","2016",7,1223750,591
"F085","June","2017",2,484500,112
"F085","June","2023",2,119000,5
"F085","July","2015",4,692850,408
"F085","July","2016",2,757500,269
"F085","July","2017",1,203993.789059362,101
"F085","August","2012",1,50850,33
"F085","August","2013",1,168000,50
"F085","August","2015",4,940750,758
"F085","August","2016",4,2108000,1024
"F085","August","2017",1,129000,20
"F085","September","2012",7,972000,590
"F085","September","2016",8,1167750,459
"F085","October","2012",10,1739750,803
"F085","October","2013",3,740250,367
"F085","October","2015",1,9000,6
"F085","October","2017",2,821000,358
"F085","November","2012",4,522250,189
"F085","November","2013",1,253000,162
"F085","November","2015",3,444900,176
"F085","November","2016",2,441500,238
"F085","December","2015",1,107000,71
"F085","December","2016",1,598750,302
"F085","December","2022",3,676708.333333333,212.5
"F085","December","2023",1,265500,28
"F086","March","2023",4,948000,248
"F086","May","2023",1,21000,3
"F087","April","2013",4,518356.676694535,343
"F087","May","2013",10,777291.819517467,717
"F087","June","2013",10,1294550,1096
"F087","July","2013",11,676364.704009595,676
"F087","September","2013",1,31250,16
"F087","October","2013",10,621300,521
"F087","November","2013",17,1530050,1396
"F087","December","2013",4,73250,8
"F088","November","2015",1,828500,848
"F089","July","2013",3,422550,108
"F089","October","2013",1,286750,177
"F090","March","2012",1,19500,13
"F090","April","2012",1,13750,12
"F091","December","2016",2,528600,377
"F092","November","2013",7,601600,841
"F092","December","2013",3,15000,3
"F093","April","2016",1,98250,64
"F094","January","2016",2,2267750,3148
"F095","February","2016",1,300750,157
"F096","April","2013",4,291871.974202356,131
"F096","May","2013",16,1279341.14112724,1659
"F096","June","2013",7,663150,631
"F096","July","2013",4,369550,538
"F096","August","2013",10,604000,732
"F096","September","2013",4,308450,432
"F096","October","2013",5,330250,453
"F096","November","2013",5,546550,758
"F096","December","2013",1,5000,1
"F097","December","2016",1,119500,43
"F099","January","2013",2,81750,90
"F099","January","2015",3,235750,231
"F099","January","2016",8,719750,700.5
"F099","January","2017",8,538250,247
"F099","January","2023",8,509911.149637097,209
"F099","February","2012",4,178750,257
"F099","February","2016",3,209500,187
"F099","February","2017",4,305500,143
"F099","February","2023",4,87000,24
"F099","March","2012",7,271820,206
"F099","March","2016",10,965863.736263736,797
"F099","March","2017",2,87250,72
"F099","March","2023",5,503742.699032258,190
"F099","April","2012",5,293569.386381228,234
"F099","April","2016",11,637150,472
"F099","April","2017",3,257500,59.25
"F099","April","2022",1,81594.3396226415,23
"F099","April","2023",8,529899.129462366,226
"F099","May","2012",7,381912.483645939,355
"F099","May","2013",5,706499.852564505,549
"F099","May","2016",1,113750,67
"F099","May","2023",7,291197.754522849,167
"F099","June","2012",7,438150,389
"F099","June","2013",5,343500,195
"F099","June","2016",12,1231250,737
"F099","June","2017",4,737900,617
"F099","June","2022",1,194094.339622642,79
"F099","June","2023",13,583304.985555556,297
"F099","July","2013",8,661556.057140518,418
"F099","July","2015",7,652100,626.5
"F099","July","2016",3,340500,132
"F099","July","2017",4,353625.045071444,198
"F099","July","2023",2,430000,148
"F099","August","2012",1,93500,48
"F099","August","2013",4,202500,207
"F099","August","2015",7,383450,373
"F099","August","2016",16,2442750,713
"F099","August","2023",1,108959.186666667,55
"F099","September","2012",3,148750,89
"F099","September","2013",1,26250,17.5
"F099","September","2015",2,101525,91.25
"F099","September","2016",12,1700900,716
"F099","September","2017",2,197500,73
"F099","September","2023",4,95536.1138528139,41
"F099","October","2013",8,881000,1006
"F099","October","2015",3,166500,222
"F099","October","2016",2,136000,75
"F099","October","2017",2,157000,49
"F099","October","2023",16,1031461.1909905,382
"F099","November","2012",10,889250,760
"F099","November","2013",1,119750,217
"F099","November","2015",2,156600,113
"F099","November","2016",6,625850,245
"F099","November","2017",2,146905.660377358,46
"F099","November","2022",1,113500,49
"F099","November","2023",12,893000,294
"F099","December","2015",3,188750,166
"F099","December","2016",4,464100,132
"F099","December","2022",5,766638.364779874,194
"F099","December","2023",16,1442500,571
"F100","January","2016",1,67000,94
"F101","January","2013",3,171500,149.75
"F101","January","2015",2,286000,253
"F101","January","2016",9,845100,769
"F101","January","2017",9,748125,431.95
"F101","January","2018",6,779750,369.25
"F101","January","2023",1,88086.0117204301,43.5
"F101","February","2012",1,59500,107.5
"F101","February","2016",4,530375,504
"F101","February","2017",3,417875,194.75
"F101","February","2023",4,263037.696944444,127.25
"F101","March","2012",2,225500,186
"F101","March","2016",6,832750,659.5
"F101","March","2017",3,195525,102.5
"F101","March","2023",1,187038.547652435,87
"F101","April","2012",6,1263640.11193249,1049
"F101","April","2016",8,918300,576
"F101","April","2022",1,271560.114085125,103
"F101","April","2023",8,1080177.39103892,527
"F101","May","2012",2,172250,233
"F101","May","2013",5,548683.194563177,529.75
"F101","May","2022",1,180500,78
"F101","May","2023",6,542844.079895944,291
"F101","June","2013",3,326187.5,360.625
"F101","June","2017",4,652000,187
"F101","June","2023",9,881361.571068735,434
"F101","July","2013",9,666797.288070439,273
"F101","July","2015",5,337500,264
"F101","July","2023",2,859500,481
"F101","August","2013",7,398187.5,304.375
"F101","August","2015",9,732450,752
"F101","August","2023",1,20000,2
"F101","September","2012",11,874000,984
"F101","September","2013",1,26250,17.5
"F101","September","2015",3,171525,152.25
"F101","September","2016",5,642250,310
"F101","September","2017",1,366000,161
"F101","September","2023",6,350677.736666667,171.5
"F101","October","2012",18,2213193.24002382,2423
"F101","October","2013",7,1286650,1821
"F101","October","2015",4,460500,597
"F101","October","2016",2,207500,136
"F101","October","2017",1,220500,156
"F101","October","2023",15,922726.512857143,355.5
"F101","November","2012",12,1231750,1102
"F101","November","2013",1,145000,250
"F101","November","2015",7,655150,540
"F101","November","2016",7,688500,351
"F101","November","2017",1,87112.1370207417,62
"F101","November","2023",15,1216250,627
"F101","December","2013",2,54000,92
"F101","December","2015",6,674650,632
"F101","December","2016",5,291750,153
"F101","December","2017",1,43007.6723886526,29
"F101","December","2022",3,763218.907987866,420
"F101","December","2023",25,2575752,1297
"F102","April","2013",2,209246.575342466,33
"F102","June","2013",2,321250,40
"F102","July","2013",1,128000,14
"F107","July","2023",1,235083.123376623,185
"F107","September","2023",1,1000,1
"F103","January","2022",1,323000,16
"F104","April","2017",3,143950,121.25
"F105","January","2022",6,12102000,2027
"F105","February","2022",6,10731500,1903
"F105","March","2022",4,8637000,1392
"F105","April","2022",3,5707500,901
"F105","May","2022",3,16113500,1046
"F105","June","2022",3,6610500,902
"F106","January","2013",2,57250,37.75
"F106","January","2015",2,416875,220
"F106","January","2016",10,1645725,1071
"F106","January","2017",5,1184966.66666667,518.4
"F106","January","2023",14,2013990.51757253,939.5
"F106","February","2016",8,1128425,782
"F106","February","2017",3,471375,242.5
"F106","February","2023",7,470549.481095436,365.5
"F106","March","2012",4,496725,340
"F106","March","2013",1,7500,0.5
"F106","March","2016",14,1859075,1454.25
"F106","March","2017",3,427400,192.25
"F106","March","2023",7,1281778.70311365,739.25
"F106","April","2012",5,647466.218863083,445.25
"F106","April","2016",5,449825,392.75
"F106","April","2017",4,522625,199.75
"F106","April","2023",7,478480.582077922,341.5
"F106","May","2012",6,1987740.37393505,726.5
"F106","May","2013",1,104500,55.25
"F106","May","2016",3,889250,267.25
"F106","May","2017",1,32000,25.5
"F106","May","2023",12,827598.646592573,467
"F106","June","2012",10,2445300,979
"F106","June","2013",7,3417975,973.25
"F106","June","2016",13,4805066.66666667,1251.65
"F106","June","2017",6,4490750,876
"F106","June","2023",16,1507433.49736804,936
"F106","July","2013",10,1131750,563.5
"F106","July","2015",5,1044400,466
"F106","July","2016",7,2476250,677.5
"F106","July","2017",5,2803898.07535705,496
"F106","July","2023",7,3132221.52615265,609
"F106","August","2012",13,3963400,1408.25
"F106","August","2013",5,1266458.33333333,470.166666666667
"F106","August","2015",10,6619200,1216
"F106","August","2016",13,4039750,1602
"F106","August","2017",1,178000,130
"F106","August","2023",2,80367.2785714286,51
"F106","September","2012",12,3425362.5,1114.5
"F106","September","2013",1,1500,1
"F106","September","2015",5,1472500,497.25
"F106","September","2016",19,12083650,2723.75
"F106","September","2017",1,1810250,303
"F106","September","2023",7,849830.30080633,515
"F106","October","2012",19,6271390.96281363,1871.5
"F106","October","2013",5,2220625,747.666666666667
"F106","October","2015",21,7378413.36592179,1899.25
"F106","October","2017",1,94900,52
"F106","October","2023",12,3599335.44228176,1126
"F106","November","2012",9,4641350,872
"F106","November","2013",2,357000,76
"F106","November","2015",12,1890725,815
"F106","November","2016",8,1487025,949
"F106","November","2017",1,13500,4
"F106","November","2023",8,2254654.79488846,795
"F106","December","2013",1,750,0.5
"F106","December","2015",3,474200,215
"F106","December","2016",1,354800,100
"F106","December","2017",1,617565.863631646,277
"F106","December","2023",5,541754.725232975,258.5
"F108","June","2016",1,600375,127.25
"F109","January","2023",8,785011.210435932,557
"F109","February","2023",2,302007.978998743,207
"F109","March","2023",1,4000,2
"F109","April","2022",1,125228.260869565,78
"F109","May","2022",1,264465.767116442,106.5
"F109","May","2023",3,18000,10
"F109","June","2023",2,45806.8303571429,29
"F109","October","2023",1,50000,25
"F109","December","2023",1,16000,12
"F110","September","2012",1,138500,36
"F112","January","2019",7,1143500,573
"F112","February","2013",2,350500,290
"F112","February","2019",3,629500,227
"F112","April","2012",2,182624.956474603,151
"F112","May","2012",4,590000,439
"F112","June","2012",2,404250,192
"F112","August","2018",3,681500,374
"F112","September","2018",9,1604000,773
"F112","October","2018",2,558750,229
"F113","January","2012",2,73500,42.75
"F113","February","2012",2,212050,207.25
"F113","March","2012",2,302150,306
"F113","April","2012",10,954235.868453914,1105.25
"F113","May","2012",18,3223815.12291485,1909.41666666667
"F113","May","2013",2,150225,133.25
"F113","June","2012",4,323362.5,455.5
"F113","July","2012",6,857200,731.5
"F113","August","2012",6,701500,796.5
"F113","August","2016",6,895975,664
"F113","September","2012",14,1919337.5,2056.5
"F113","September","2013",1,14000,3.5
"F113","September","2017",3,451500,313.25
"F113","October","2012",16,2349325,2284.25
"F113","November","2012",5,361775,298
"F114","December","2022",1,177087.209302326,125
"F115","August","2016",2,1070600,341
"F115","September","2016",11,5724600,1676
"F115","October","2016",11,2869450,1335
"F115","November","2016",15,2777950,1632
"F117","February","2023",1,64000,8
"F117","April","2023",1,36000,9
"F117","May","2023",1,60000,2
"F117","June","2023",2,18000,3
"F117","July","2023",1,881250,356
"F117","September","2023",2,1805250,685
"F117","October","2023",12,2941000,954
"F117","November","2023",15,2432000,931
"F117","December","2023",6,943500,358
"F116","October","2023",4,2596500,549
"F116","November","2023",1,16000,2
"F118","January","2023",2,92575.3033333333,47
"F118","February","2023",3,184568.51,95
"F118","March","2023",5,315378.327435897,183
"F118","April","2023",4,72000,18
"F118","May","2023",10,715508.476666667,473
"F118","June","2023",12,671712.643333333,381
"F118","July","2023",5,330774.403333333,176
"F118","August","2023",1,57500,26
"F118","September","2023",6,242183.904761905,139
"F118","October","2023",6,116724.8,58
"F118","November","2023",2,29281.13,19
"F118","December","2023",1,61169.3333333333,51
"F119","January","2015",2,107947,102
"F119","January","2016",6,316447,282
"F119","January","2017",3,494000,344
"F119","January","2019",11,2011750,930
"F119","January","2023",5,596050.912020202,223
"F119","February","2012",3,193450,157
"F119","February","2016",7,488100,411
"F119","February","2017",4,276150,229
"F119","February","2019",18,2534250,1489
"F119","March","2012",3,150500,141
"F119","March","2013",2,60000,4
"F119","March","2016",11,729050,574
"F119","March","2017",4,235950,177
"F119","March","2018",5,540800,328
"F119","March","2019",7,1154750,583
"F119","March","2023",4,440723.89952381,199
"F119","April","2013",1,66500,50
"F119","April","2016",17,1374000,1000
"F119","April","2017",4,301150,227
"F119","April","2018",19,1712200,1097
"F119","April","2019",11,1696250,944
"F119","April","2023",1,2250,1.5
"F119","May","2012",10,860193.45181399,674.666666666667
"F119","May","2013",11,1670074.36949478,1349.41666666667
"F119","May","2017",1,56250,55
"F119","May","2018",11,1535500,1059
"F119","May","2019",9,1394500,735
"F119","May","2023",3,20000,3.5
"F119","June","2012",10,1935212.5,1160.25
"F119","June","2013",4,584125,348.75
"F119","June","2016",10,913400,678
"F119","June","2017",6,1189750,680
"F119","June","2018",22,3383650,2105
"F119","June","2019",21,2931500,1616
"F119","June","2023",2,7000,1
"F119","July","2013",9,751300,644.5
"F119","July","2015",10,680600,524
"F119","July","2017",4,530401.477545102,434
"F119","July","2018",15,2123000,1439
"F119","July","2019",9,1359000,755
"F119","July","2023",1,913500,308
"F119","August","2012",1,215900,228
"F119","August","2015",10,830000,630
"F119","August","2017",1,63500,58
"F119","August","2018",20,3157500,2039
"F119","September","2012",15,1859625,1346.25
"F119","September","2015",10,777450,669
"F119","September","2016",1,23750,16
"F119","September","2017",1,183750,116
"F119","September","2018",22,3318000,1968
"F119","September","2023",5,407157.244127077,226
"F119","October","2012",18,3203875.96599691,1626.25
"F119","October","2015",21,1621837.11323224,1416
"F119","October","2016",2,162250,98
"F119","October","2018",14,1842500,1199
"F119","October","2023",4,771250,311
"F119","November","2012",9,954475,466.25
"F119","November","2013",8,596000,385
"F119","November","2015",15,1687650,1224
"F119","November","2016",5,446350,283
"F119","November","2018",11,1894250,1107
"F119","December","2015",4,342000,223
"F119","December","2016",4,351050,228
"F119","December","2017",1,195000,115
"F119","December","2018",5,772250,410
"F119","December","2023",2,29000,8
"F120","January","2012",1,76732.5066168879,45
"F120","September","2018",1,242000,22
"F121","January","2012",6,1144500,659
"F121","January","2017",5,487150,256
"F121","January","2018",4,366150,249
"F121","February","2013",3,186708.333333333,58.9166666666667
"F121","February","2016",6,313200,246
"F121","February","2018",8,794950,489
"F121","March","2012",1,87000,41
"F121","March","2013",1,173300,168
"F121","March","2016",7,632900,466
"F121","March","2018",9,679950,466
"F121","April","2012",6,662500,339
"F121","April","2016",6,551250,390
"F121","April","2017",1,422450,279
"F121","April","2018",20,1808350,1109
"F121","May","2012",6,728797.374381617,568
"F121","May","2013",2,15998.7732211707,8
"F121","May","2016",11,1421950,1045
"F121","May","2017",2,224000,177
"F121","May","2018",10,1146400,732
"F121","June","2012",5,932500,519
"F121","June","2013",2,412000,202
"F121","June","2018",19,2583750,1742
"F121","June","2019",12,1498000,870
"F121","July","2013",3,460325.023406795,241
"F121","July","2016",3,569950,347
"F121","July","2017",10,1257300,1167
"F121","July","2018",7,734500,544
"F121","July","2019",11,1417500,814
"F121","August","2016",9,1193700,890
"F121","August","2017",3,429350,300
"F121","August","2018",7,978250,700
"F121","September","2012",4,347000,170
"F121","September","2013",3,557000,264
"F121","September","2016",4,632000,528
"F121","September","2017",4,433700,322
"F121","September","2018",2,338500,211
"F121","October","2012",6,790250,370
"F121","October","2016",3,369850,281
"F121","October","2017",4,334350,212
"F121","November","2012",2,361000,222
"F121","November","2013",8,1086000,547
"F121","November","2016",11,1361300,929
"F121","November","2017",2,252000,194
"F121","December","2013",5,732000,396
"F121","December","2016",6,664350,546
"F122","March","2017",1,782300,952
"F122","April","2017",1,934600,892
"F122","May","2017",1,704850,770
"F122","July","2017",1,262450,191
"F122","August","2017",1,167450,147
"F122","September","2017",1,215300,181
"F122","November","2017",1,162500,103
"F122","December","2017",1,89200,86
"F123","January","2023",4,46000,36
"F123","February","2023",2,193328.316967911,172.75
"F123","May","2023",1,20292.3333333333,14
"F123","July","2023",1,3500,1
"F123","December","2022",1,143771.739130435,86.75
"F124","January","2023",2,30000,16.5
"F124","February","2023",1,126688.142580645,79
"F124","April","2023",1,1500,1.5
"F124","July","2023",1,1000,0.5
"F125","April","2013",1,72884.6153846154,56
"F125","May","2013",2,104000,15
"F126","January","2013",1,64500,64
"F126","January","2016",8,552800,428
"F126","January","2017",1,113250,59
"F126","January","2023",3,307500,74
"F126","February","2012",5,358750,305
"F126","February","2016",3,372750,298
"F126","February","2017",1,130350,63
"F126","March","2012",8,359100,265
"F126","March","2013",1,84000,56
"F126","March","2016",7,1523000,1108.25
"F126","March","2017",1,58000,45
"F126","March","2023",3,72000,11
"F126","April","2012",5,392378.223196145,257
"F126","April","2017",1,208375,45.25
"F126","April","2023",2,105500,48
"F126","May","2012",9,822885.661551931,559
"F126","May","2013",9,1342854.07996856,1113
"F126","May","2023",4,305954.463333333,134
"F126","June","2012",8,760782.75962252,570
"F126","June","2013",8,1121200,767
"F126","June","2016",6,933350,829
"F126","June","2023",11,763520.015772076,344
"F126","July","2013",16,1803990.92615667,1153
"F126","July","2015",4,355950,267
"F126","July","2017",2,580387.214504165,263.5
"F126","July","2023",3,99117.3017204301,46
"F126","August","2012",5,516000,348
"F126","August","2013",10,1014950,659
"F126","August","2015",8,586650,335
"F126","August","2016",3,453500,254
"F126","August","2023",1,1500,1
"F126","September","2012",9,707250,700
"F126","September","2015",5,367850,327
"F126","September","2016",7,1179300,1082
"F126","September","2017",1,44250,31
"F126","September","2023",8,2032500,827
"F126","October","2012",13,1821750,1434
"F126","October","2013",8,1809400,1792
"F126","October","2015",8,698846.958813469,691
"F126","October","2017",1,37500,27
"F126","October","2023",15,1150250,567
"F126","November","2012",14,1822650,1423
"F126","November","2015",14,1933050,1289
"F126","November","2016",2,423725,251
"F126","November","2023",16,1127250,498
"F126","December","2013",2,6000,6
"F126","December","2015",3,785000,825.25
"F126","December","2016",2,610250,218
"F126","December","2017",1,384541.964592182,139
"F126","December","2023",20,2081750,826
"F127","July","2015",1,174500,32
"F128","January","2023",7,687704.000641962,278
"F128","February","2023",3,1612972.73214286,246
"F128","March","2023",6,558314.64030832,326
"F128","April","2022",1,324455.188679245,182
"F128","April","2023",4,690122.721030612,371
"F128","May","2023",4,96000,12
"F128","June","2022",1,234547.169811321,108
"F128","June","2023",8,127517.508064516,34
"F128","July","2023",3,154409.571684588,53
"F128","August","2023",1,111135.818212366,53
"F128","September","2023",2,183031.814016897,75
"F128","October","2023",3,268762,138
"F128","November","2022",1,165168.604651163,76
"F128","November","2023",1,32000,8
"F128","December","2022",2,779297.169811321,426
"F128","December","2023",2,120386.223300971,49
"F129","January","2015",11,3182250,1396
"F129","January","2016",11,3190250,1400
"F129","January","2017",10,3537250,1296.25
"F129","January","2018",8,2795250,1197.5
"F129","January","2019",7,1925289.54081633,874.5
"F129","January","2022",11,6175750,2519.5
"F129","January","2023",7,3389250,2058.5
"F129","February","2013",4,92000,3.5
"F129","February","2016",10,2563500,1084.5
"F129","February","2017",10,3458375,1421.5
"F129","February","2018",13,3649750,1579
"F129","February","2022",2,658750,228.5
"F129","February","2023",8,2942250,1357
"F129","March","2017",7,2046250,847.5
"F129","March","2018",10,3226750,1462
"F129","March","2023",13,2474500,725
"F129","April","2016",13,2766000,1194.5
"F129","April","2017",11,3007250,1152.5
"F129","April","2018",14,3754250,1567.5
"F129","April","2022",7,3466500,1622.5
"F129","April","2023",4,3555000,1366
"F129","May","2012",1,245000,132.5
"F129","May","2013",5,143000,37.5
"F129","May","2016",12,3594750,1396.5
"F129","May","2017",12,2685250,1189
"F129","May","2018",7,1799250,856.5
"F129","May","2022",7,2546250,1103.5
"F129","May","2023",14,5281500,2011
"F129","June","2012",4,668875,316.75
"F129","June","2013",11,4942050,1928.5
"F129","June","2016",15,6818500,3062.5
"F129","June","2017",8,1503500,768.5
"F129","June","2018",8,2297500,942.75
"F129","June","2022",14,5684000,2079
"F129","June","2023",10,3860000,1681
"F129","July","2013",8,2524387.56382204,1149
"F129","July","2015",10,3174750,1327.5
"F129","July","2016",10,4036750,1439.5
"F129","July","2017",16,4384250,1866.5
"F129","July","2018",13,3996083.33333333,1567.91666666667
"F129","July","2022",7,3411000,1627.5
"F129","July","2023",10,4682000,2059
"F129","August","2013",10,2604375,1063
"F129","August","2015",12,4211875,1895.5
"F129","August","2016",11,4509250,1558
"F129","August","2017",8,2787000,888
"F129","August","2018",9,3254250,1085.5
"F129","August","2022",3,1674750,745.5
"F129","August","2023",12,5324500,2031.5
"F129","September","2012",9,1999750,922.25
"F129","September","2013",14,5168000,1982
"F129","September","2015",10,2594250,1079
"F129","September","2016",13,7340525,3261.5
"F129","September","2017",13,4092000,1749.5
"F129","September","2018",14,6013500,1819.75
"F129","September","2022",16,8255500,3024.5
"F129","September","2023",8,1280000,534.5
"F129","October","2012",12,3653117.5,1593.5
"F129","October","2013",5,1541750,767.25
"F129","October","2015",11,2810250,1262.5
"F129","October","2016",9,3879525,1463.5
"F129","October","2017",13,6337125,2386.5
"F129","October","2018",13,5287125,1604.25
"F129","October","2022",15,7684000,2690
"F129","October","2023",14,4687500,1872
"F129","November","2012",12,3515125,1316
"F129","November","2013",15,4837875,1880.41666666667
"F129","November","2015",11,2893875,1296.25
"F129","November","2016",3,1013000,471
"F129","November","2017",12,3960625,1502.16666666667
"F129","November","2018",11,3521000,1437
"F129","November","2022",12,12864500,4624
"F129","November","2023",12,6568750,2550
"F129","December","2012",8,2076250,1030.5
"F129","December","2013",7,1944000,1167
"F129","December","2015",10,2754750,1218
"F129","December","2017",13,3213048.9167784,1434.70833333333
"F129","December","2018",9,2350500,1006.25
"F129","December","2022",7,4041500,1545.5
"F129","December","2023",7,1096000,503.5
"F130","May","2013",1,7500,1
"F131","August","2022",2,1090500,459
"F132","April","2016",9,157250,122
"F133","January","2013",2,57250,37.75
"F133","January","2016",1,309500,191
"F133","February","2012",3,885500,622
"F133","March","2013",1,7500,0.5
"F133","March","2017",1,112650,41
"F133","April","2012",1,64800,45.25
"F133","May","2012",6,1987740.37393505,726.5
"F133","May","2013",1,104500,55.25
"F133","June","2012",10,2445300,979
"F133","June","2013",3,2106850,625.5
"F133","June","2016",11,3872816.66666667,1020.9
"F133","July","2013",10,1131750,563.5
"F133","July","2015",1,423000,87
"F133","August","2012",8,1545925,668.25
"F133","August","2013",5,1266458.33333333,470.166666666667
"F133","August","2015",5,948500,153.5
"F133","September","2012",13,3593425,1193.75
"F133","September","2013",1,1500,1
"F133","October","2012",16,5452890.96281363,1627.75
"F133","October","2013",5,2220625,747.666666666667
"F133","November","2012",7,4109225,658.75
"F133","November","2013",2,357000,76
"F133","December","2013",1,750,0.5
"F134","June","2013",1,55250,58
"F135","January","2015",3,176200,176
"F135","January","2016",3,176200,176
"F135","January","2017",1,51000,35
"F135","February","2016",6,564250,567
"F135","February","2017",1,76500,63
"F135","March","2016",7,847000,724
"F135","April","2013",7,837988.51730201,959
"F135","April","2016",6,437950,409
"F135","May","2013",13,1535753.13845511,1470
"F135","June","2013",7,887750,678
"F135","July","2013",2,228566.567855581,160
"F135","October","2013",5,976450,1058
"F135","October","2016",1,60500,42
"F135","November","2013",7,876800,720
"F135","November","2016",2,138250,99
"F136","March","2013",2,102100,79
"F136","April","2013",13,1073950.52812099,834
"F136","May","2013",19,1179050.13497604,832
"F136","June","2013",10,760550,485
"F136","July","2013",10,606017.4259879,297
