"Species","Year","Total_Catch_Yr","Total_Income_Yr","Total_Fishing_Trips_Yr","CPUE"
"Chaetodon citrinellus","2023",109,217000,1138,0.0957820738137083
"Chaetodon decussatus","2016",2,5000,102,0.0196078431372549
"Chaetodon decussatus","2022",14,40000,134,0.104477611940299
"Chaetodon decussatus","2023",3,9000,243,0.0123456790123457
"Chaetodon ephippium","2013",2,15000,491,0.00407331975560081
"Chaetodon ephippium","2022",10,167500,101,0.099009900990099
"Chaetodon falcula","2013",1,3500,328,0.00304878048780488
"Chaetodon falcula","2022",32,560000,180,0.177777777777778
"Chaetodon guentheri","2023",2,10000,216,0.00925925925925926
"Chaetodon kleinii","2012",311,261436.746987952,745,0.41744966442953
"Chaetodon kleinii","2013",924,992856.589147287,2234,0.4136078782453
"Chaetodon kleinii","2016",1405,1733000,2087,0.673215141351222
"Chaetodon kleinii","2018",1504,1796000,1423,1.05692199578356
"Chaetodon kleinii","2019",805,969000,842,0.956057007125891
"Chaetodon kleinii","2022",430,895000,389,1.10539845758355
"Chaetodon kleinii","2023",543,914948.569230769,1365,0.397802197802198
"Chaetodon lunula","2012",5,15000,534,0.00936329588014981
"Chaetodon lunula","2013",92,540950,2094,0.0439350525310411
"Chaetodon lunula","2016",46,223500,1797,0.0255982192543127
"Chaetodon lunula","2017",5,28000,371,0.0134770889487871
"Chaetodon lunula","2018",3,25000,337,0.00890207715133531
"Chaetodon lunula","2019",14,140000,620,0.0225806451612903
"Chaetodon lunula","2022",72,1180000,339,0.212389380530973
"Chaetodon lunula","2023",17,45000,885,0.0192090395480226
"Chaetodon lunulatus","2012",24,29500,482,0.0497925311203319
"Chaetodon madagascariensis","2022",3,52500,77,0.038961038961039
"Chaetodon melannotus","2015",11,27000,535,0.0205607476635514
"Chaetodon melannotus","2016",3,7500,364,0.00824175824175824
"Chaetodon melannotus","2017",11,27500,626,0.0175718849840256
"Chaetodon melannotus","2018",14,42000,606,0.0231023102310231
"Chaetodon melannotus","2022",23,134000,150,0.153333333333333
"Chaetodon melannotus","2023",18,72000,1105,0.016289592760181
"Chaetodon meyeri","2012",75,429083.333333333,1519,0.0493745885450955
"Chaetodon meyeri","2013",6,46000,671,0.00894187779433681
"Chaetodon meyeri","2015",4,21000,436,0.00917431192660551
"Chaetodon meyeri","2016",32,135000,1329,0.0240782543265613
"Chaetodon meyeri","2017",39,270184.210526316,920,0.0423913043478261
"Chaetodon meyeri","2018",19,138000,1033,0.0183930300096805
"Chaetodon meyeri","2019",7,36000,663,0.0105580693815988
"Chaetodon meyeri","2022",6,17500,184,0.0326086956521739
"Chaetodon meyeri","2023",2,3000,347,0.00576368876080692
"Chaetodon ocellicaudus","2016",1,3000,154,0.00649350649350649
"Chaetodon octofasciatus","2022",3,12000,107,0.0280373831775701
"Chaetodon ornatissimus","2012",31,227000,755,0.0410596026490066
"Chaetodon ornatissimus","2016",3,20000,503,0.00596421471172962
"Chaetodon ornatissimus","2017",10,80000,404,0.0247524752475248
"Chaetodon ornatissimus","2022",10,101000,206,0.0485436893203883
"Chaetodon ornatissimus","2023",3,26000,266,0.0112781954887218
"Chaetodon punctatofasciatus","2012",6,21000,386,0.0155440414507772
"Chaetodon punctatofasciatus","2013",2,5500,342,0.00584795321637427
"Chaetodon punctatofasciatus","2022",3,22000,120,0.025
"Chaetodon punctatofasciatus","2023",3,18000,255,0.0117647058823529
"Chaetodon rafflesi","2012",2,2500,319,0.00626959247648903
"Chaetodon rafflesi","2022",208,1444000,210,0.990476190476191
"Chaetodon rafflesi","2023",15,90000,568,0.0264084507042254
"Chaetodon speculum","2012",1,4000,284,0.00352112676056338
"Chaetodon speculum","2013",3,5000,317,0.00946372239747634
"Chaetodon speculum","2019",1,5000,179,0.00558659217877095
"Chaetodon speculum","2022",21,133500,220,0.0954545454545455
"Chaetodon speculum","2023",7,20500,446,0.015695067264574
"Chaetodon trifascialis","2012",10,13656.25,1121,0.00892060660124889
"Chaetodon trifascialis","2013",2,3000,113,0.0176991150442478
"Chaetodon trifascialis","2015",5,12000,278,0.0179856115107914
"Chaetodon trifascialis","2016",11,17000,1245,0.00883534136546185
"Chaetodon trifascialis","2017",74,248500,1130,0.0654867256637168
"Chaetodon trifascialis","2018",17,63000,728,0.0233516483516484
"Chaetodon trifascialis","2019",1,2000,130,0.00769230769230769
"Chaetodon trifascialis","2022",53,311500,389,0.136246786632391
"Chaetodon trifascialis","2023",18,76000,787,0.0228716645489199
"Chaetodon trifasciatus","2012",341,375000,1572,0.216921119592875
"Chaetodon trifasciatus","2013",254,264445.544554455,2234,0.113697403760072
"Chaetodon trifasciatus","2015",126,254500,727,0.173314993122421
"Chaetodon trifasciatus","2016",94,163500,1606,0.0585305105853051
"Chaetodon trifasciatus","2017",210,465905.660377358,1130,0.185840707964602
"Chaetodon trifasciatus","2018",67,138500,1423,0.0470836261419536
"Chaetodon trifasciatus","2019",56,56000,614,0.0912052117263844
"Chaetodon trifasciatus","2022",111,335000,319,0.347962382445141
"Chaetodon trifasciatus","2023",223,450000,1365,0.163369963369963
"Chaetodon ulietensis","2022",42,315000,180,0.233333333333333
"Chaetodon ulietensis","2023",1,7500,79,0.0126582278481013
"Chaetodon unimaculatus","2022",4,20000,111,0.036036036036036
"Chaetodon vagabundus","2022",142,424000,389,0.365038560411311
"Chaetodon vagabundus","2023",109,322000,1278,0.0852895148669797
"Chaetodon xanthurus","2022",1,7000,31,0.032258064516129
"Chaetodon xanthurus","2023",1,7000,35,0.0285714285714286
"Chaetodontoplus melanosoma","2016",1,10000,213,0.00469483568075117
"Chaetodontoplus mesoleucus","2022",20,80000,150,0.133333333333333
"Cheilinus chlorourus","2012",37,53250,848,0.0436320754716981
"Cheilinus fasciatus","2012",4,4000,424,0.00943396226415094
"Cheilinus fasciatus","2015",5,5000,434,0.0115207373271889
"Cheilinus fasciatus","2016",64,64000,1985,0.0322418136020151
"Cheilinus fasciatus","2017",10,10000,262,0.0381679389312977
"Cheilinus fasciatus","2018",14,20000,616,0.0227272727272727
"Cheilinus fasciatus","2019",1,1000,98,0.0102040816326531
"Cheilinus fasciatus","2023",15,18000,1157,0.0129645635263613
"Chelidonura varians","2022",1,5000,30,0.0333333333333333
"Chelmon rostratus","2012",2,3500,337,0.00593471810089021
"Chelmon rostratus","2018",1,4000,155,0.00645161290322581
"Chelmon rostratus","2022",238,2380000,210,1.13333333333333
"Chepalopholis taeniops","2012",3,9000,285,0.0105263157894737
"Chirrhilabrus cyanopleura","2016",3049,2679513.73626374,2087,1.46094873023479
"Chirrhilabrus cyanopleura","2018",747,1193500,1423,0.524947294448349
"Chirrhilabrus cyanopleura","2019",289,482500,842,0.343230403800475
"Chromi lineata","2023",84,63000,451,0.186252771618625
"Chromis lineata","2022",1587,3174000,389,4.07969151670951
"Chromis lineata","2023",2546,5092000,1525,1.66950819672131
"Chromis margaritifer","2012",3616,2209500,1530,2.36339869281046
"Chromis margaritifer","2013",2345,2014218.81188119,2234,1.0496866606983
"Chromis margaritifer","2015",1604,1845450,727,2.20632737276479
"Chromis margaritifer","2016",3792,3639850,2087,1.81696214662195
"Chromis margaritifer","2017",3672,3386250,1130,3.24955752212389
"Chromis margaritifer","2018",4792,5046200,1423,3.36753338018271
"Chromis margaritifer","2019",1196,1246000,842,1.42042755344418
"Chromis margaritifer","2022",1990,2807500,389,5.11568123393316
"Chromis margaritifer","2023",3478,4093875,1525,2.28065573770492
"Chromis opercularis","2012",353,282800,755,0.467549668874172
"Chromis retrofasciata","2015",10,5000,99,0.101010101010101
"Chromis retrofasciata","2016",2087,1554100,2087,1
"Chromis retrofasciata","2018",3241,2866300,1423,2.27758257203092
"Chromis retrofasciata","2019",2339,2339000,842,2.77790973871734
"Chromis retrofasciata","2022",1906,2812125,389,4.89974293059126
"Chromis retrofasciata","2023",2367,3548000,1525,1.55213114754098
"Chromis viridis","2012",5483,4120982.75862069,1572,3.48791348600509
"Chromis viridis","2013",37351,22592400,2234,16.7193375111907
"Chromis viridis","2015",8135,8508500,727,11.1898211829436
"Chromis viridis","2016",22532,21167350,2087,10.7963584091998
"Chromis viridis","2017",10304,14136314.4067797,1130,9.11858407079646
"Chromis viridis","2018",6699,9878500,1263,5.30403800475059
"Chromis viridis","2019",330,480000,228,1.44736842105263
"Chromis viridis","2022",14183,21274500,389,36.4601542416452
"Chromis viridis","2023",17628,20956389.28125,1438,12.2586926286509
"Chromis weberi","2012",10120,5397802.57731959,1572,6.43765903307888
"Chromis weberi","2013",7405,4425200,2234,3.31468218442256
"Chromis xanthura","2012",1104,830200,848,1.30188679245283
"Chrysiptera brownrigii","2012",2,4000,312,0.00641025641025641
"Chrysiptera caeruleolineata","2012",7628,36472902.3738872,848,8.99528301886792
"Chrysiptera cyanea","2017",2,3000,84,0.0238095238095238
"Chrysiptera cyanea","2022",27,40500,71,0.380281690140845
"Chrysiptera cyanea","2023",1,1500,35,0.0285714285714286
"Chrysiptera rollandi","2016",10,16000,487,0.0205338809034908
"Chrysiptera talboti","2012",1876,2601000,1572,1.19338422391858
"Chrysiptera talboti","2013",2861,1978900,2234,1.28066248880931
"Chrysiptera talboti","2015",1569,1536100,727,2.15818431911967
"Chrysiptera talboti","2016",13124,8512400,2087,6.28845232390992
"Chrysiptera talboti","2017",8258,8030000,1130,7.30796460176991
"Chrysiptera talboti","2018",9717,9620350,1423,6.82853127196065
"Chrysiptera talboti","2019",6935,6955000,842,8.23634204275534
"Chrysiptera talboti","2022",3294,4560000,389,8.46786632390745
"Chrysiptera talboti","2023",8252,9517750,1525,5.41114754098361
"Cirrhilabrus cyanopleura","2012",671,419220,838,0.800715990453461
"Cirrhilabrus cyanopleura","2013",1036,1206400,2234,0.463742166517457
"Cirrhilabrus cyanopleura","2022",577,1170000,389,1.48329048843188
"Cirrhilabrus cyanopleura","2023",1064,1555000,1525,0.697704918032787
"Cirrhilabrus exquisitus","2012",344,389750,838,0.410501193317422
"Cirrhilabrus exquisitus","2013",367,784000,2027,0.181055747409965
"Cirrhilabrus exquisitus","2016",1746,3133500,2087,0.836607570675611
"Cirrhilabrus exquisitus","2018",506,1222500,1423,0.355586788475053
"Cirrhilabrus exquisitus","2019",295,631500,842,0.350356294536817
"Cirrhilabrus exquisitus","2022",70,147500,272,0.257352941176471
"Cirrhilabrus exquisitus","2023",198,377000,1446,0.136929460580913
"Cirrhilabrus filamentosus","2012",56,150000,629,0.0890302066772655
"Cirrhilabrus filamentosus","2015",48,151000,727,0.0660247592847318
"Cirrhilabrus filamentosus","2016",304,997500,1985,0.153148614609572
"Cirrhilabrus filamentosus","2017",7,19750,448,0.015625
"Cirrhilabrus filamentosus","2018",31,124000,754,0.0411140583554377
"Cirrhilabrus filamentosus","2019",2,6000,130,0.0153846153846154
"Cirrhilabrus filamentosus","2022",29,155000,180,0.161111111111111
"Cirrhilabrus filamentosus","2023",1,5000,137,0.0072992700729927
"Cirrhilabrus flavidorsalis","2012",58,117000,1234,0.0470016207455429
"Cirrhilabrus flavidorsalis","2022",2,10000,30,0.0666666666666667
"Cirrhilabrus flavidorsalis","2023",7,13500,479,0.0146137787056367
"Cirrhilabrus lubbocki","2012",73,90750,1387,0.0526315789473684
"Cirrhilabrus lubbocki","2015",18,27000,375,0.048
"Cirrhilabrus lubbocki","2016",245,282000,2087,0.117393387637758
"Cirrhilabrus lubbocki","2017",12,16500,772,0.0155440414507772
"Cirrhilabrus lubbocki","2018",16,18500,953,0.0167890870933893
"Cirrhilabrus lubbocki","2019",25,29000,300,0.0833333333333333
"Cirrhilabrus lubbocki","2022",266,1064000,237,1.12236286919831
"Cirrhitichthys aprinus","2012",774,783650,848,0.912735849056604
"Cirrhitichthys aprinus","2015",392,440913.043478261,727,0.539202200825309
"Cirrhitichthys aprinus","2016",1139,1169100,2087,0.545759463344514
"Cirrhitichthys aprinus","2017",767,830141.224489796,1130,0.678761061946903
"Cirrhitichthys aprinus","2018",1146,1235500,1423,0.805340829234013
"Cirrhitichthys aprinus","2019",522,530000,842,0.619952494061758
"Cirrhitichthys aprinus","2022",187,216500,268,0.697761194029851
"Cirrhitichthys aprinus","2023",958,1062500,1525,0.628196721311475
"Cirrhitichthys falco","2022",153,333000,389,0.393316195372751
"Cirrhitichthys falco","2023",53,106000,1312,0.0403963414634146
"Cirrhitichthys oxycephalus","2022",11,22000,296,0.0371621621621622
"Cirrhitichthys oxycephalus","2023",17,34000,675,0.0251851851851852
"Coris aygula","2012",1,25000,219,0.0045662100456621
"Coris aygula","2013",3,120000,113,0.0265486725663717
"Coris aygula","2016",1,25000,240,0.00416666666666667
"Coris aygula","2017",2,122500,193,0.0103626943005181
"Coris aygula","2018",1,42500,50,0.02
"Coris gaimard","2012",2115,4831637.25490196,1593,1.32768361581921
"Coris gaimard","2013",1292,3140716.43518519,2234,0.578334825425246
"Coris gaimard","2015",693,1924116.97247706,727,0.953232462173315
"Coris gaimard","2016",1269,3851750,2087,0.608049832295161
"Coris gaimard","2017",1021,3265356.80751174,1130,0.90353982300885
"Coris gaimard","2018",805,3018500,1423,0.565706254392129
"Coris gaimard","2019",319,1050000,842,0.378859857482185
"Coris gaimard","2022",618,2592500,389,1.58868894601542
"Coris gaimard","2023",1651,5234500,1525,1.08262295081967
"Coris julis","2012",832,888250,848,0.981132075471698
"Coris julis","2013",2,7000,108,0.0185185185185185
"Coris pictoides","2012",7,4250,449,0.0155902004454343
"Coris pictoides","2013",20,22500,938,0.0213219616204691
"Coris pictoides","2016",1,1000,262,0.00381679389312977
"Corythoichthys intestinalis","2023",1,2000,35,0.0285714285714286
"Cromileptes altivelis","2016",5,28000,592,0.00844594594594595
"Cromileptes altivelis","2022",7,70000,137,0.0510948905109489
"Cryptocentrus cinctus","2022",2,6000,41,0.0487804878048781
"Cryptocentrus leptocephalus","2022",55,165000,287,0.191637630662021
"Cryptocentrus leptocephalus","2023",2,6000,79,0.0253164556962025
"Ctenochaetus striatus","2022",391,1185000,389,1.00514138817481
"Ctenochaetus striatus","2023",485,1455000,1525,0.318032786885246
"Ctenochaetus tominiensis","2022",8,440000,77,0.103896103896104
"Ctenochaetus tominiensis","2023",5,75000,670,0.00746268656716418
"Ctenogobiops tangaroai","2022",21,157500,167,0.125748502994012
"Cyprinocirrhites polyactis","2012",11,11000,100,0.11
"Cyprinocirrhites polyactus","2015",104,134000,619,0.168012924071082
"Cyprinocirrhites polyactus","2016",17,25500,478,0.0355648535564854
"Cyprinocirrhites polyactus","2017",53,79500,410,0.129268292682927
"Cyprinocirrhites polyactus","2018",38,57000,441,0.0861678004535147
"Cyprinocirrhites polyactus","2019",8,8000,98,0.0816326530612245
"Cyprinocirrhites polyactus","2023",408,612000,914,0.446389496717724
"Dactyloptena orientalis","2013",6,21600,1143,0.005249343832021
"Dactyloptena orientalis","2017",1,5000,112,0.00892857142857143
"Dactyloptena orientalis","2022",1,25000,30,0.0333333333333333
"Dactyloptena orientalis","2023",1,25000,83,0.0120481927710843
"Dascyllus aruanus","2013",781,410100,1777,0.439504783342712
"Dascyllus aruanus","2023",1,750,172,0.00581395348837209
"Dascyllus melanurus","2016",8,4800,422,0.018957345971564
"Dascyllus reticulatus","2012",525,262500,950,0.552631578947368
"Dascyllus reticulatus","2013",100,50000,328,0.304878048780488
"Dascyllus reticulatus","2015",273,386750,535,0.510280373831776
"Dascyllus reticulatus","2016",176,264000,663,0.265460030165913
"Dascyllus reticulatus","2017",402,521100,642,0.626168224299065
"Dascyllus reticulatus","2018",610,550500,981,0.621814475025484
"Dascyllus reticulatus","2019",1291,1291000,842,1.5332541567696
"Dascyllus reticulatus","2022",483,724500,292,1.6541095890411
"Dascyllus reticulatus","2023",220,330000,220,1
"Dascyllus trimaculatus","2012",4688,3223678.90625,1593,2.9428750784683
"Dascyllus trimaculatus","2013",8935,5743500,2234,3.99955237242614
"Dascyllus trimaculatus","2015",1006,932500,727,1.3837689133425
"Dascyllus trimaculatus","2016",5430,3784900,2087,2.6018207954001
"Dascyllus trimaculatus","2017",3658,3104400,1130,3.23716814159292
"Dascyllus trimaculatus","2018",4256,4086050,1423,2.99086437104708
"Dascyllus trimaculatus","2019",4226,4499500,842,5.01900237529691
"Dascyllus trimaculatus","2022",723,1024500,320,2.259375
"Dascyllus trimaculatus","2023",1983,2130750,1525,1.30032786885246
"Dendrochirus biocellatus","2012",34,232509.259259259,1403,0.0242337847469708
"Dendrochirus biocellatus","2013",890,1193084.3373494,2160,0.412037037037037
"Dendrochirus biocellatus","2015",9,96000,527,0.0170777988614801
"Dendrochirus biocellatus","2016",80,655000,2087,0.0383325347388596
"Dendrochirus biocellatus","2017",68,598678.571428571,1130,0.0601769911504425
"Dendrochirus biocellatus","2018",79,811000,1372,0.0575801749271137
"Dendrochirus biocellatus","2019",54,505000,842,0.0641330166270784
"Dendrochirus biocellatus","2022",22,310000,172,0.127906976744186
"Dendrochirus biocellatus","2023",23,255000,1106,0.0207956600361664
"Dendrochirus brachypterus","2012",3,6000,122,0.0245901639344262
"Dendrochirus brachypterus","2022",3,9000,36,0.0833333333333333
"Dendrochirus zebra","2012",84,87500,848,0.0990566037735849
"Dendrochirus zebra","2015",62,77000,727,0.0852819807427785
"Dendrochirus zebra","2016",133,140500,2087,0.0637278390033541
"Dendrochirus zebra","2017",24,25500,815,0.0294478527607362
"Dendrochirus zebra","2018",44,59000,1142,0.0385288966725044
"Dendrochirus zebra","2019",60,60000,842,0.0712589073634204
"Dendrochirus zebra","2022",24,72000,235,0.102127659574468
"Dendrochirus zebra","2023",83,131333.333333333,1270,0.0653543307086614
"Diademichthys lineatus","2022",15,45000,71,0.211267605633803
"Diodon holocanthus","2012",29,33054.5454545454,755,0.0384105960264901
"Diodon liturosus","2013",1,3000,276,0.0036231884057971
"Diodon liturosus","2016",1,5000,262,0.00381679389312977
"Diodon liturosus","2018",1,5000,196,0.00510204081632653
"Diproctacanthus xanthurus","2012",8,8000,801,0.00998751560549313
"Diproctacanthus xanthurus","2015",4,4000,325,0.0123076923076923
"Diproctacanthus xanthurus","2016",4,4000,555,0.00720720720720721
"Diproctacanthus xanthurus","2022",2,4000,31,0.0645161290322581
"Diproctacanthus xanthurus","2023",6,12000,516,0.0116279069767442
"Dischistodus perspicillatus","2013",121,60500,632,0.191455696202532
"Dischistodus perspicillatus","2015",192,96000,242,0.793388429752066
"Dischistodus perspicillatus","2016",1098,549000,1708,0.642857142857143
"Dischistodus perspicillatus","2018",178,166000,316,0.563291139240506
"Dischistodus perspicillatus","2019",2156,2156000,842,2.56057007125891
"Doryrhamphus dactyliophorus","2012",24,34000,854,0.0281030444964871
"Doryrhamphus dactyliophorus","2013",49,96500,1986,0.0246727089627392
"Doryrhamphus dactyliophorus","2015",30,49000,619,0.0484652665589661
"Doryrhamphus dactyliophorus","2016",58,102000,1957,0.0296371997956055
"Doryrhamphus dactyliophorus","2017",19,36500,988,0.0192307692307692
"Doryrhamphus dactyliophorus","2018",19,38500,887,0.0214205186020293
"Doryrhamphus dactyliophorus","2019",7,14000,435,0.0160919540229885
"Doryrhamphus dactyliophorus","2022",12,30000,177,0.0677966101694915
"Doryrhamphus dactyliophorus","2023",22,44000,1172,0.0187713310580205
"Doryrhamphus excisus","2022",4,24000,30,0.133333333333333
"Doryrhamphus excisus excisus","2012",5,7000,608,0.00822368421052632
"Doryrhamphus excisus excisus","2013",4,10500,827,0.00483675937122128
"Doryrhamphus janssi","2012",2,4500,266,0.0075187969924812
"Doryrhamphus janssi","2022",1,10000,30,0.0333333333333333
"Doryrhamphus janssii","2015",1,5000,142,0.00704225352112676
"Doryrhamphus janssii","2016",11,33000,762,0.0144356955380577
"Doryrhamphus janssii","2017",9,26500,539,0.0166975881261596
"Doryrhamphus janssii","2018",4,14000,527,0.00759013282732448
"Doryrhamphus janssii","2022",1,2500,30,0.0333333333333333
"Doryrhamphus janssii","2023",2,7500,270,0.00740740740740741
"Doryrhamphus pessuliferus","2022",2,20000,77,0.025974025974026
"Echeneis naucrates","2013",1,3000,63,0.0158730158730159
"Echidna polyzona","2012",4,28000,424,0.00943396226415094
"Echidna polyzona","2015",1,7000,142,0.00704225352112676
"Echidna polyzona","2016",8,76000,995,0.00804020100502513
"Echidna polyzona","2017",7,70000,723,0.00968188105117566
"Echidna polyzona","2018",9,115000,864,0.0104166666666667
"Echidna polyzona","2019",11,131000,513,0.0214424951267057
"Ecsenius bicolor","2012",725,1038332.55813953,1572,0.461195928753181
"Ecsenius bicolor","2015",625,1089388.23529412,727,0.859697386519945
"Ecsenius bicolor","2016",3213,5159300,2087,1.53953042644945
"Ecsenius bicolor","2017",879,1649461.86046512,1130,0.77787610619469
"Ecsenius bicolor","2018",551,994500,1423,0.387210119465917
"Ecsenius bicolor","2019",382,587500,842,0.453681710213777
"Ecsenius bicolor","2022",1075,4086000,389,2.76349614395887
"Ecsenius bicolor","2023",461,1023000,1525,0.302295081967213
"Ecsenius midas","2012",42,62000,571,0.0735551663747811
"Ecsenius midas","2013",33,81500,1559,0.0211674150096216
"Ecsenius midas","2016",20,40500,1246,0.0160513643659711
"Ecsenius midas","2018",7,15000,387,0.0180878552971576
"Ecsenius midas","2019",1,2000,98,0.0102040816326531
"Ecsenius midas","2022",6,24000,30,0.2
"Ecsenius namiyei","2012",68,111014.285714286,1525,0.0445901639344262
"Ecsenius namiyei","2013",69,81212.5,1989,0.0346907993966818
"Enneapterygius atrogulare","2012",330,336500,848,0.389150943396226
"Enoplometopus occedentalis","2016",3,7000,376,0.00797872340425532
"Enoplometopus occidentalis","2012",1055,1271053.27868852,848,1.24410377358491
"Enoplometopus occidentalis","2013",9,13000,966,0.0093167701863354
"Epinephelus merra","2013",1,5000,276,0.0036231884057971
"Exallias brevis","2012",49,84600,1572,0.0311704834605598
"Exallias brevis","2015",40,1e+05,585,0.0683760683760684
"Exallias brevis","2016",109,236000,1973,0.0552458185504308
"Exallias brevis","2017",14,32500,459,0.0305010893246187
"Exallias brevis","2018",13,39000,581,0.0223752151462995
"Exallias brevis","2019",1,3000,101,0.0099009900990099
"Exallias brevis","2022",30,82000,231,0.12987012987013
"Exallias brevis","2023",149,324000,1525,0.0977049180327869
"Forcipiger flavissimus","2012",17,138500,957,0.0177638453500522
"Forcipiger flavissimus","2013",110,690000,1501,0.0732844770153231
"Forcipiger flavissimus","2015",7,49000,325,0.0215384615384615
"Forcipiger flavissimus","2016",46,324000,1329,0.0346124905944319
"Forcipiger flavissimus","2017",12,95000,482,0.024896265560166
"Forcipiger flavissimus","2018",12,84000,643,0.0186625194401244
"Forcipiger flavissimus","2019",2,11000,300,0.00666666666666667
"Forcipiger flavissimus","2022",8,124000,147,0.054421768707483
"Forcipiger flavissimus","2023",32,276007.777777778,1215,0.0263374485596708
"Genicanthus lamarck","2012",1,3500,47,0.0212765957446809
"Genicanthus lamarck","2015",1,2500,84,0.0119047619047619
"Genicanthus lamarck","2016",3,11000,570,0.00526315789473684
"Genicanthus lamarck","2018",2,15000,337,0.00593471810089021
"Genicanthus lamarck","2022",5,50000,41,0.121951219512195
"Gnathanodon speciosus","2015",1,5000,158,0.00632911392405063
"Gnathanodon speciosus","2016",2,4500,293,0.0068259385665529
"Gnathanodon speciosus","2017",6,30000,84,0.0714285714285714
"Gnathanodon speciosus","2022",1,7000,41,0.024390243902439
"Gomphosus varius","2012",118,271500,1255,0.0940239043824701
"Gomphosus varius","2013",1,7000,287,0.00348432055749129
"Gomphosus varius","2015",7,10500,192,0.0364583333333333
"Gomphosus varius","2016",167,314500,1760,0.0948863636363636
"Gomphosus varius","2017",39,68790.3225806452,1019,0.0382728164867517
"Gomphosus varius","2018",44,88500,1059,0.0415486307837583
"Gomphosus varius","2019",15,30000,415,0.036144578313253
"Gomphosus varius","2022",10,96666.6666666667,220,0.0454545454545455
"Gomphosus varius","2023",84,119363.181818182,1525,0.0550819672131148
"Gorgasia preclara","2012",35,68384.6153846154,848,0.0412735849056604
"Gunnellichthys curiosus","2018",10,50000,182,0.0549450549450549
"Gymnomuraena zebra","2012",4,24000,508,0.0078740157480315
"Gymnomuraena zebra","2013",19,195000,1947,0.00975860297894196
"Gymnomuraena zebra","2018",1,15000,141,0.00709219858156028
"Gymnomuraena zebra","2022",3,82500,141,0.0212765957446809
"Gymnomuraena zebra","2023",6,90037.5,682,0.00879765395894428
"Gymnothorax undulatus","2023",1,4000,213,0.00469483568075117
"Halichoeres argus","2023",43,43000,1101,0.03905540417802
"Halichoeres bicolor","2023",3,6000,450,0.00666666666666667
"Halichoeres biocellatus","2022",14,42000,151,0.0927152317880795
"Halichoeres biocellatus","2023",17,51000,1000,0.017
"Halichoeres chloropterus","2019",15,37500,98,0.153061224489796
"Halichoeres chrysus","2012",7847,9796957.08092485,1593,4.92592592592593
"Halichoeres chrysus","2013",4356,6705513.22115385,2234,1.94986571172784
"Halichoeres chrysus","2015",4356,7136229.89690722,727,5.99174690508941
"Halichoeres chrysus","2016",14879,22784700,2087,7.12937230474365
"Halichoeres chrysus","2017",5447,10406069.0789474,1130,4.82035398230088
"Halichoeres chrysus","2018",7055,14355268,1423,4.95783555867885
"Halichoeres chrysus","2019",2260,4456750,842,2.68408551068884
"Halichoeres chrysus","2022",4652,13717500,389,11.9588688946015
"Halichoeres chrysus","2023",8254,19298500,1525,5.41245901639344
"Halichoeres hortulanus","2012",423,403277.777777778,1530,0.276470588235294
"Halichoeres hortulanus","2013",452,593450.187969925,1906,0.237145855194124
"Halichoeres hortulanus","2015",88,123250,727,0.121045392022008
"Halichoeres hortulanus","2016",371,327500,2087,0.177767129851461
"Halichoeres hortulanus","2017",232,192250,1130,0.205309734513274
"Halichoeres hortulanus","2018",733,616250,1423,0.515108924806746
"Halichoeres hortulanus","2019",366,340000,842,0.434679334916865
"Halichoeres hortulanus","2022",17,21250,130,0.130769230769231
"Halichoeres hortulanus","2023",398,505500,1525,0.260983606557377
"Halichoeres marginatus","2012",3,6000,266,0.0112781954887218
"Halichoeres marginatus","2015",189,472500,727,0.259972489683631
"Halichoeres marginatus","2016",153,379500,1021,0.149853085210578
"Halichoeres marginatus","2017",16,40000,262,0.0610687022900763
"Halichoeres marginatus","2018",55,114000,1072,0.0513059701492537
"Halichoeres marginatus","2019",4,10000,98,0.0408163265306122
"Halichoeres marginatus","2022",311,943000,389,0.799485861182519
"Halichoeres marginatus","2023",515,1545000,1525,0.337704918032787
"Halichoeres melanurus","2015",16,30000,669,0.0239162929745889
"Halichoeres melanurus","2016",306,428000,1847,0.165674066053059
"Halichoeres melanurus","2017",500,5e+05,951,0.525762355415352
"Halichoeres melanurus","2018",453,471000,1268,0.357255520504732
"Halichoeres melanurus","2019",218,220000,842,0.258907363420428
"Halichoeres melanurus","2022",22,66000,225,0.0977777777777778
"Halichoeres melanurus","2023",15,45000,720,0.0208333333333333
"Halichoeres nebulosus","2013",213,539706.896551724,1520,0.140131578947368
"Halichoeres ornatissimus","2022",3,9000,70,0.0428571428571429
"Halichoeres ornatissimus","2023",2,6000,243,0.00823045267489712
"Halichoeres podostigma","2022",16,42000,267,0.0599250936329588
"Halichoeres podostigma","2023",28,70000,801,0.034956304619226
"Halichoeres prosopeion","2012",256,307683.333333333,724,0.353591160220994
"Halichoeres prosopeion","2022",33,150000,181,0.18232044198895
"Halichoeres prosopeion","2023",12,30000,759,0.0158102766798419
"Hapalochlaena lunulata","2022",2,8000,60,0.0333333333333333
"Hemigymnus fasciatus","2012",1,500,197,0.0050761421319797
"Hemitaurichthys polylepis","2017",14,177000,415,0.0337349397590361
"Hemitaurichthys polylepis","2018",13,170000,472,0.0275423728813559
"Hemitaurichthys polylepis","2022",5,78000,111,0.045045045045045
"Hemitaurichthys polylepis","2023",3,7500,523,0.00573613766730402
"Heniochus acuminatus","2012",115,560044.444444444,775,0.148387096774194
