"Month","Species","Year","Total_Catch","Total_Income","Individual_fishing_trips_mo","CPUE"
"February","Pseudanthias dispar","2012",407,305250,63,6.46031746031746
"February","Pseudanthias dispar","2013",265,265000,113,2.34513274336283
"February","Pseudanthias dispar","2016",1689,1959000,130,12.9923076923077
"February","Pseudanthias dispar","2017",536,953000,84,6.38095238095238
"February","Pseudanthias dispar","2018",366,732000,71,5.15492957746479
"February","Pseudanthias dispar","2019",507,1014000,135,3.75555555555556
"February","Pseudanthias dispar","2022",242,605000,36,6.72222222222222
"February","Pseudanthias dispar","2023",623,1325000,90,6.92222222222222
"February","Pseudanthias evansi","2012",128,256000,63,2.03174603174603
"February","Pseudanthias huchtii","2012",34,17000,63,0.53968253968254
"February","Pseudanthias huchtii","2016",159,234250,130,1.22307692307692
"February","Pseudanthias huchtii","2017",96,184500,84,1.14285714285714
"February","Pseudanthias huchtii","2018",82,161500,71,1.15492957746479
"February","Pseudanthias huchtii","2019",55,41250,135,0.407407407407407
"February","Pseudanthias huchtii","2022",52,108000,36,1.44444444444444
"February","Pseudanthias huchtii","2023",123,174498.970873786,90,1.36666666666667
"February","Pseudanthias hypselosoma","2012",69,49600,63,1.0952380952381
"February","Pseudanthias hypselosoma","2016",612,671500,130,4.70769230769231
"February","Pseudanthias hypselosoma","2017",77,94500,84,0.916666666666667
"February","Pseudanthias hypselosoma","2018",104,222750,71,1.46478873239437
"February","Pseudanthias hypselosoma","2019",190,559750,135,1.40740740740741
"February","Pseudanthias luzonensis","2012",14,28000,63,0.222222222222222
"February","Pseudanthias luzonensis","2013",7,14500,113,0.0619469026548673
"February","Pseudanthias pleurotaenia","2016",8,23500,130,0.0615384615384615
"February","Pseudanthias pleurotaenia","2018",4,9000,71,0.0563380281690141
"February","Pseudanthias pleurotaenia","2019",1,3000,135,0.00740740740740741
"February","Pseudanthias pleurotaenia","2023",1,2001,90,0.0111111111111111
"February","Pseudanthias squamipinnis","2022",208,520000,36,5.77777777777778
"February","Pseudanthias squamipinnis","2023",283,267460.203571429,90,3.14444444444444
"February","Pseudanthias tuka","2013",39,79000,113,0.345132743362832
"February","Pseudanthias tuka","2017",5,23000,84,0.0595238095238095
"February","Pseudanthias tuka","2018",8,32000,71,0.112676056338028
"February","Pseudechidna brummeri","2022",2,14000,36,0.0555555555555556
"February","Pseudocheilinus evanidus","2012",9,9000,63,0.142857142857143
"February","Pseudocheilinus evanidus","2013",49,44250,113,0.433628318584071
"February","Pseudocheilinus evanidus","2016",65,59750,130,0.5
"February","Pseudocheilinus evanidus","2017",26,27750,84,0.30952380952381
"February","Pseudocheilinus evanidus","2018",27,32250,71,0.380281690140845
"February","Pseudocheilinus evanidus","2019",108,108000,135,0.8
"February","Pseudocheilinus evanidus","2022",1,2500,36,0.0277777777777778
"February","Pseudocheilinus evanidus","2023",78,102500,90,0.866666666666667
"February","Pseudocheilinus hexataenia","2012",769,1332050,63,12.2063492063492
"February","Pseudocheilinus hexataenia","2013",475,950000,113,4.20353982300885
"February","Pseudocheilinus hexataenia","2016",1068,2224250,130,8.21538461538461
"February","Pseudocheilinus hexataenia","2017",798,1804000,84,9.5
"February","Pseudocheilinus hexataenia","2018",683,1599000,71,9.61971830985915
"February","Pseudocheilinus hexataenia","2019",1629,4066500,135,12.0666666666667
"February","Pseudocheilinus hexataenia","2022",448,1568000,36,12.4444444444444
"February","Pseudocheilinus hexataenia","2023",467,1471000,90,5.18888888888889
"February","Pseudochromis paccagnellae","2012",2,2000,63,0.0317460317460317
"February","Pseudochromis paccagnellae","2016",1,1000,130,0.00769230769230769
"February","Pseudochromis paccagnellae","2022",164,574000,36,4.55555555555556
"February","Pseudorhombus cinnamoneus","2022",2,6000,36,0.0555555555555556
"February","Ptereleotris evides","2012",83,100850,63,1.31746031746032
"February","Ptereleotris evides","2016",101,173700,130,0.776923076923077
"February","Ptereleotris evides","2017",8,18000,84,0.0952380952380952
"February","Ptereleotris evides","2018",15,42000,71,0.211267605633803
"February","Ptereleotris evides","2019",83,122000,135,0.614814814814815
"February","Ptereleotris evides","2022",26,114000,36,0.722222222222222
"February","Ptereleotris evides","2023",8,16000,90,0.0888888888888889
"February","Ptereleotris heteroptera","2013",9,13500,113,0.079646017699115
"February","Ptereleotris heteroptera","2022",8,32000,36,0.222222222222222
"February","Ptereleotris heteroptera","2023",6,18000,90,0.0666666666666667
"February","Ptereleotris heteropterus","2016",1,1500,130,0.00769230769230769
"February","Ptereleotris heteropterus","2018",1,1500,71,0.0140845070422535
"February","Ptereleotris heteropterus","2019",94,189000,135,0.696296296296296
"February","Ptereleotris heteropterus","2023",3,7500,90,0.0333333333333333
"February","Ptereleotris microlepis","2017",7,7000,84,0.0833333333333333
"February","Ptereleotris zebra","2013",20,30000,113,0.176991150442478
"February","Pterois antennata","2012",12,17700,63,0.19047619047619
"February","Pterois antennata","2016",39,58250,130,0.3
"February","Pterois antennata","2017",21,41500,84,0.25
"February","Pterois antennata","2018",17,35000,71,0.23943661971831
"February","Pterois antennata","2019",46,92000,135,0.340740740740741
"February","Pterois antennata","2022",8,40000,36,0.222222222222222
"February","Pterois antennata","2023",61,98500,90,0.677777777777778
"February","Pterois radiata","2012",3,21000,63,0.0476190476190476
"February","Pterois radiata","2016",2,16000,130,0.0153846153846154
"February","Pterois radiata","2017",4,60000,84,0.0476190476190476
"February","Pterois radiata","2018",4,60000,71,0.0563380281690141
"February","Pterois radiata","2023",1,15000,90,0.0111111111111111
"February","Pterois volitans","2012",3,21000,63,0.0476190476190476
"February","Pterois volitans","2013",7,33000,113,0.0619469026548673
"February","Pterois volitans","2016",2,16000,130,0.0153846153846154
"February","Pterois volitans","2018",1,10000,71,0.0140845070422535
"February","Pterois volitans","2019",7,65000,135,0.0518518518518519
"February","Pterois volitans","2022",10,165000,36,0.277777777777778
"February","Pygoplites diacanthus","2016",4,65000,130,0.0307692307692308
"February","Pygoplites diacanthus","2017",1,10000,84,0.0119047619047619
"February","Pygoplites diacanthus","2018",1,15000,71,0.0140845070422535
"February","Pygoplites diacanthus","2019",1,15000,135,0.00740740740740741
"February","Pygoplites diacanthus","2022",2,80000,36,0.0555555555555556
"February","Rhinchocinetes durbanensis","2016",425,312500,130,3.26923076923077
"February","Rhinchocinetes durbanensis","2019",50,35000,135,0.37037037037037
"February","Rhinecanthus aculeatus","2022",1,10000,36,0.0277777777777778
"February","Rhinecanthus verrucosus","2012",5,3750,63,0.0793650793650794
"February","Rhinecanthus verrucosus","2013",2,2000,113,0.0176991150442478
"February","Rhinecanthus verrucosus","2017",16,16000,84,0.19047619047619
"February","Rhinecanthus verrucosus","2018",3,3000,71,0.0422535211267606
"February","Rhinecanthus verrucosus","2019",28,28000,135,0.207407407407407
"February","Rhinecanthus verrucosus","2022",14,42000,36,0.388888888888889
"February","Rhinomuraena quaesita","2012",1,6000,63,0.0158730158730159
"February","Rhinomuraena quaesita","2013",1,7000,113,0.00884955752212389
"February","Rhinomuraena quaesita","2022",3,1e+05,36,0.0833333333333333
"February","Rhinomuraena quaesita","2023",4,60000,90,0.0444444444444444
"February","Rhinomuraena quesita","2016",3,94000,130,0.0230769230769231
"February","Rhinomuraena quesita","2019",13,121000,135,0.0962962962962963
"February","Rhynchocinetes durbanensis","2013",85,59500,113,0.752212389380531
"February","Rhynchocinetes durbanensis","2023",204,204000,90,2.26666666666667
"February","Salarias ceramensis","2013",3,3000,113,0.0265486725663717
"February","Salarias ceramensis","2022",3,21000,36,0.0833333333333333
"February","Salarias fasciatus","2016",49,49000,130,0.376923076923077
"February","Salarias fasciatus","2017",16,16000,84,0.19047619047619
"February","Salarias fasciatus","2019",42,42000,135,0.311111111111111
"February","Salarias fasciatus","2022",21,62500,36,0.583333333333333
"February","Salarias fasciatus","2023",25,32500,90,0.277777777777778
"February","Salarias segmentatus","2022",13,65000,36,0.361111111111111
"February","Siderea picta","2022",2,10000,36,0.0555555555555556
"February","Siganus corallinus","2016",1,1000,130,0.00769230769230769
"February","Signigobius biocellatus","2022",69,586500,36,1.91666666666667
"February","Stenopus Hispodus","2016",10,10000,130,0.0769230769230769
"February","Stenopus Hispodus","2018",6,6000,71,0.0845070422535211
"February","Stenopus Hispodus","2019",8,8000,135,0.0592592592592593
"February","Stenopus hispidus","2022",1,2500,36,0.0277777777777778
"February","Stenopus hispidus","2023",5,5000,90,0.0555555555555556
"February","Stenopus hispodus","2012",1,1000,63,0.0158730158730159
"February","Stenopus hispodus","2013",14,14000,113,0.123893805309735
"February","Stenopus tenuirostris","2022",8,80000,36,0.222222222222222
"February","Stethojulis bandanensis","2016",3,3000,130,0.0230769230769231
"February","Stethojulis bandanensis","2017",2,3000,84,0.0238095238095238
"February","Stethojulis bandanensis","2023",3,3000,90,0.0333333333333333
"February","Stonogobiops nematodes","2022",158,1185000,36,4.38888888888889
"February","Stonogobiops yasha","2022",1,42500,36,0.0277777777777778
"February","Sufflamen bursa","2023",1,3000,90,0.0111111111111111
"February","Sufflamen chrysopterus","2017",6,18000,84,0.0714285714285714
"February","Sufflamen chrysopterus","2018",2,2000,71,0.028169014084507
"February","Sufflamen chrysopterus","2019",17,17000,135,0.125925925925926
"February","Synchiropus ocellatus","2012",35,33750,63,0.555555555555556
"February","Synchiropus ocellatus","2013",104,104000,113,0.920353982300885
"February","Synchiropus ocellatus","2016",27,30250,130,0.207692307692308
"February","Synchiropus ocellatus","2017",85,126750,84,1.01190476190476
"February","Synchiropus ocellatus","2018",1,1000,71,0.0140845070422535
"February","Synchiropus ocellatus","2019",73,73000,135,0.540740740740741
"February","Synchiropus ocellatus","2022",278,1111500,36,7.72222222222222
"February","Synchiropus ocellatus","2023",7,16500,90,0.0777777777777778
"February","Synchiropus picturatus","2023",8,12000,90,0.0888888888888889
"February","Taenianotus triacanthus","2017",2,6000,84,0.0238095238095238
"February","Taenianotus triacanthus","2018",1,4000,71,0.0140845070422535
"February","Taenianotus triacanthus","2019",2,2500,135,0.0148148148148148
"February","Thalassoma amblycephalum","2013",1,1000,113,0.00884955752212389
"February","Thalassoma amblycephalum","2016",7,10000,130,0.0538461538461538
"February","Thalassoma amblycephalum","2018",5,5000,71,0.0704225352112676
"February","Thalassoma amblycephalum","2023",5,15000,90,0.0555555555555556
"February","Thalassoma lunare","2012",1,1000,63,0.0158730158730159
"February","Thalassoma lunare","2016",15,19000,130,0.115384615384615
"February","Thalassoma lunare","2017",5,13000,84,0.0595238095238095
"February","Thalassoma lunare","2018",8,10000,71,0.112676056338028
"February","Tomiyamichthys oni","2022",18,108000,36,0.5
"February","Valenciennea helsdingenii","2012",48,37000,63,0.761904761904762
"February","Valenciennea helsdingenii","2016",1,1500,130,0.00769230769230769
"February","Valenciennea helsdingenii","2017",59,88500,84,0.702380952380952
"February","Valenciennea helsdingenii","2018",278,486500,71,3.91549295774648
"February","Valenciennea helsdingenii","2019",72,138000,135,0.533333333333333
"February","Valenciennea helsdingenii","2023",3,9000,90,0.0333333333333333
"February","Valenciennea longipinnis","2022",5,12500,36,0.138888888888889
"February","Valenciennea puellaris","2012",37,39900,63,0.587301587301587
"February","Valenciennea puellaris","2013",163,244500,113,1.44247787610619
"February","Valenciennea puellaris","2016",316,463300,130,2.43076923076923
"February","Valenciennea puellaris","2017",211,316500,84,2.51190476190476
"February","Valenciennea puellaris","2018",170,313500,71,2.3943661971831
"February","Valenciennea puellaris","2019",518,1029000,135,3.83703703703704
"February","Valenciennea puellaris","2022",99,445500,36,2.75
"February","Valenciennea puellaris","2023",148,342000,90,1.64444444444444
"February","Valenciennea sexguttata","2012",2,1750,63,0.0317460317460317
"February","Valenciennea sexguttata","2013",12,15000,113,0.106194690265487
"February","Valenciennea sexguttata","2016",6,7000,130,0.0461538461538462
"February","Valenciennea sexguttata","2017",29,29000,84,0.345238095238095
"February","Valenciennea sexguttata","2019",169,260000,135,1.25185185185185
"February","Valenciennea sexguttata","2022",220,659500,36,6.11111111111111
"February","Valenciennea sexguttata","2023",5,9500,90,0.0555555555555556
"February","Valenciennea strigata","2012",177,213250,63,2.80952380952381
"February","Valenciennea strigata","2013",147,220500,113,1.30088495575221
"February","Valenciennea strigata","2016",52,74100,130,0.4
"February","Valenciennea strigata","2018",5,10000,71,0.0704225352112676
"February","Valenciennea strigata","2019",12,24000,135,0.0888888888888889
"February","Valenciennea strigata","2022",187,748000,36,5.19444444444444
"February","Valenciennea strigata","2023",88,256000,90,0.977777777777778
"February","Variola louti","2012",1,1500,63,0.0158730158730159
"February","Variola louti","2013",9,13500,113,0.079646017699115
"February","Variola louti","2019",2,3000,135,0.0148148148148148
"February","Wetmorella nigropinnata","2016",12,10750,130,0.0923076923076923
"February","Wetmorella nigropinnata","2017",18,30000,84,0.214285714285714
"February","Wetmorella nigropinnata","2018",4,4000,71,0.0563380281690141
"February","Wetmorella nigropinnata","2019",58,60000,135,0.42962962962963
"February","Wetmorella nigropinnata","2023",23,24725,90,0.255555555555556
"February","Zanclus cornutus","2012",2,3000,63,0.0317460317460317
"February","Zanclus cornutus","2016",22,35000,130,0.169230769230769
"February","Zanclus cornutus","2017",2,3250,84,0.0238095238095238
"February","Zanclus cornutus","2018",16,32000,71,0.225352112676056
"February","Zanclus cornutus","2019",18,36000,135,0.133333333333333
"February","Zanclus cornutus","2023",13,31000,90,0.144444444444444
"February","Zebrasoma scopas","2012",88,128700,63,1.3968253968254
"February","Zebrasoma scopas","2013",86,109500,113,0.761061946902655
"February","Zebrasoma scopas","2016",228,419250,130,1.75384615384615
"February","Zebrasoma scopas","2017",139,258250,84,1.6547619047619
"February","Zebrasoma scopas","2018",50,127500,71,0.704225352112676
"February","Zebrasoma scopas","2019",71,140000,135,0.525925925925926
"February","Zebrasoma scopas","2022",79,316000,36,2.19444444444444
"February","Zebrasoma scopas","2023",322,1006000,90,3.57777777777778
"February","Zebrasoma veliferum","2022",13,260000,36,0.361111111111111
"March","#N/A","2012",1027,1445118.27666151,100,10.27
"March","#N/A","2013",2326,2993400,63,36.9206349206349
"March","#N/A","2017",1591,2687500,73,21.7945205479452
"March","#N/A","2023",3,5500,106,0.0283018867924528
"March","Ablabys macracanthus","2023",1,2500,106,0.00943396226415094
"March","Ablabys taenionotus","2016",1,3000,240,0.00416666666666667
"March","Acanthurus bariene","2016",59,195500,240,0.245833333333333
"March","Acanthurus bariene","2018",22,170000,100,0.22
"March","Acanthurus bariene","2019",19,156000,78,0.243589743589744
"March","Acanthurus bariene","2023",19,190000,106,0.179245283018868
"March","Acanthurus chronixis","2012",6,8519.723183391,100,0.06
"March","Acanthurus chronixis","2022",39,284000,30,1.3
"March","Acanthurus chronixis","2023",32,196000,106,0.30188679245283
"March","Acanthurus grammoptilus","2012",6,4500,100,0.06
"March","Acanthurus grammoptilus","2013",2,2000,63,0.0317460317460317
"March","Acanthurus leucoheilus","2016",4,12500,240,0.0166666666666667
"March","Acanthurus leucoheilus","2017",15,70000,73,0.205479452054795
"March","Acanthurus leucoheilus","2018",8,25000,100,0.08
"March","Acanthurus leucoheilus","2019",5,25000,78,0.0641025641025641
"March","Acanthurus leucosternon","2018",1,15000,100,0.01
"March","Acanthurus lineatus","2012",1,2000,100,0.01
"March","Acanthurus lineatus","2013",6,18000,63,0.0952380952380952
"March","Acanthurus lineatus","2016",720,1074500,240,3
"March","Acanthurus lineatus","2017",71,224000,73,0.972602739726027
"March","Acanthurus lineatus","2018",36,126000,100,0.36
"March","Acanthurus lineatus","2019",74,230000,78,0.948717948717949
"March","Acanthurus lineatus","2022",12,62000,30,0.4
"March","Acanthurus lineatus","2023",61,256000,106,0.575471698113208
"March","Acanthurus maculiceps","2016",21,74500,240,0.0875
"March","Acanthurus maculiceps","2017",6,58000,73,0.0821917808219178
"March","Acanthurus maculiceps","2018",5,40000,100,0.05
"March","Acanthurus maculiceps","2019",3,30000,78,0.0384615384615385
"March","Acanthurus mata","2022",2,8000,30,0.0666666666666667
"March","Acanthurus nigricans","2012",17,107500,100,0.17
"March","Acanthurus nigricans","2016",4,32000,240,0.0166666666666667
"March","Acanthurus nigricans","2017",1,10000,73,0.0136986301369863
"March","Acanthurus nigricans","2018",9,108000,100,0.09
"March","Acanthurus nigricans","2023",5,80000,106,0.0471698113207547
"March","Acanthurus nigrofuscus","2012",75,66250,100,0.75
"March","Acanthurus nigrofuscus","2016",7,7000,240,0.0291666666666667
"March","Acanthurus nigrofuscus","2017",3,3000,73,0.0410958904109589
"March","Acanthurus nigrofuscus","2018",7,7000,100,0.07
"March","Acanthurus nigrofuscus","2023",1,1250,106,0.00943396226415094
"March","Acanthurus nigroris","2016",210,210000,240,0.875
"March","Acanthurus nigroris","2017",188,256000,73,2.57534246575342
"March","Acanthurus nigroris","2018",55,101000,100,0.55
"March","Acanthurus nigroris","2019",19,19000,78,0.243589743589744
"March","Acanthurus nigroris","2023",152,228000,106,1.43396226415094
"March","Acanthurus olivaceus","2012",1,1500,100,0.01
"March","Acanthurus olivaceus","2016",5,9000,240,0.0208333333333333
"March","Acanthurus olivaceus","2017",1,3000,73,0.0136986301369863
"March","Acanthurus olivaceus","2018",6,22000,100,0.06
"March","Acanthurus olivaceus","2019",4,14000,78,0.0512820512820513
"March","Acanthurus olivaceus","2022",12,125500,30,0.4
"March","Acanthurus olivaceus","2023",2,12000,106,0.0188679245283019
"March","Acanthurus pyroferus","2012",1,12000,100,0.01
"March","Acanthurus pyroferus","2013",21,157500,63,0.333333333333333
"March","Acanthurus pyroferus","2016",4,8000,240,0.0166666666666667
"March","Acanthurus pyroferus","2017",38,105000,73,0.520547945205479
"March","Acanthurus pyroferus","2018",26,97500,100,0.26
"March","Acanthurus pyroferus","2019",75,187500,78,0.961538461538462
"March","Acanthurus pyroferus","2022",35,690000,30,1.16666666666667
"March","Acanthurus pyroferus","2023",14,190000,106,0.132075471698113
"March","Acanthurus triostegus","2016",1,1500,240,0.00416666666666667
"March","Acanthurus triostegus","2017",17,25500,73,0.232876712328767
"March","Acanthurus triostegus","2019",1,1500,78,0.0128205128205128
"March","Acanthurus triostegus","2023",27,103000,106,0.254716981132075
"March","Acanthurus tristris","2017",7,29500,73,0.0958904109589041
"March","Acanthurus tristris","2018",3,9000,100,0.03
"March","Acanthurus tristris","2023",24,72000,106,0.226415094339623
"March","Acanthurus tritis","2022",1,6000,30,0.0333333333333333
"March","Acanthurus xanthopterus","2018",1,5000,100,0.01
"March","Acanthurus xanthopterus","2019",4,12500,78,0.0512820512820513
"March","Acreichthys radiatus","2013",1,5000,63,0.0158730158730159
"March","Acreichthys tomentosus","2022",4,12000,30,0.133333333333333
"March","Alpheus randalli","2022",11,66000,30,0.366666666666667
"March","Amblycirrhitus pinos","2012",69,49350,100,0.69
"March","Amblycirrhitus pinos","2013",1,750,63,0.0158730158730159
"March","Amblyeleotris aurora","2022",88,440000,30,2.93333333333333
"March","Amblyeleotris guttata","2022",117,468000,30,3.9
"March","Amblyeleotris randalli","2022",50,1930000,30,1.66666666666667
"March","Amblyeleotris steinitzi","2017",1,1500,73,0.0136986301369863
"March","Amblyeleotris wheeleri","2022",56,224000,30,1.86666666666667
"March","Amblygobius rainfordi","2016",1,1000,240,0.00416666666666667
"March","Amblygobius rainfordi","2018",1,1000,100,0.01
"March","Amblygobius rainfordi","2019",5,5000,78,0.0641025641025641
"March","Amphiprion clarkii","2012",27,28876.2658227848,100,0.27
"March","Amphiprion clarkii","2016",60,80800,240,0.25
"March","Amphiprion clarkii","2017",46,117750,73,0.63013698630137
"March","Amphiprion clarkii","2018",55,151500,100,0.55
"March","Amphiprion clarkii","2019",29,56000,78,0.371794871794872
"March","Amphiprion clarkii","2022",100,453500,30,3.33333333333333
"March","Amphiprion clarkii","2023",25,62000,106,0.235849056603774
"March","Amphiprion frenatus","2016",1,1500,240,0.00416666666666667
"March","Amphiprion frenatus","2018",1,3000,100,0.01
"March","Amphiprion ocellaris","2012",2,2833.33333333334,100,0.02
"March","Amphiprion ocellaris","2016",7,10500,240,0.0291666666666667
"March","Amphiprion ocellaris","2017",5,12500,73,0.0684931506849315
"March","Amphiprion ocellaris","2018",3,6500,100,0.03
"March","Amphiprion ocellaris","2019",4,8000,78,0.0512820512820513
"March","Amphiprion ocellaris","2022",12,35500,30,0.4
"March","Amphiprion ocellaris","2023",25,62500,106,0.235849056603774
"March","Amphiprion perideraion","2022",4,10500,30,0.133333333333333
"March","Amphiprion perideraion","2023",4,8500,106,0.0377358490566038
"March","Amphiprion polymnus","2022",39,187500,30,1.3
"March","Amphiprion polymnus","2023",4,13000,106,0.0377358490566038
"March","Amphiprion sandaracinos","2016",7,8500,240,0.0291666666666667
"March","Amphiprion sandaracinos","2018",6,10500,100,0.06
"March","Amphiprion sandaracinos","2019",10,15000,78,0.128205128205128
"March","Amphiprion sandaracinos","2023",3,9000,106,0.0283018867924528
"March","Anampses caeruleopunctatus","2016",5,5000,240,0.0208333333333333
"March","Anampses caeruleopunctatus","2017",2,6000,73,0.0273972602739726
"March","Anampses caeruleopunctatus","2018",5,15000,100,0.05
"March","Anampses caeruleopunctatus","2023",6,18500,106,0.0566037735849057
"March","Anampses lineatus","2012",4,8000,100,0.04
"March","Anampses melanurus","2012",1,1000,100,0.01
"March","Anampses melanurus","2018",1,2000,100,0.01
"March","Anampses melanurus","2019",2,4000,78,0.0256410256410256
"March","Anampses melanurus","2023",10,90000,106,0.0943396226415094
"March","Anampses meleagrides","2012",8,35000,100,0.08
"March","Anampses meleagrides","2016",54,239000,240,0.225
"March","Anampses meleagrides","2017",1,10000,73,0.0136986301369863
"March","Anampses meleagrides","2018",23,230000,100,0.23
"March","Anampses meleagrides","2019",2,10500,78,0.0256410256410256
"March","Anampses meleagrides","2022",2,25000,30,0.0666666666666667
"March","Anampses meleagrides","2023",38,397000,106,0.358490566037736
"March","Ancanthurus pyroferus","2018",2,16000,100,0.02
"March","Ancanthurus pyroferus","2019",1,10000,78,0.0128205128205128
"March","Antennarius nummifer","2016",3,6000,240,0.0125
"March","Apolemichthys trimaculatus","2012",1,10000,100,0.01
"March","Apolemichthys trimaculatus","2013",1,15000,63,0.0158730158730159
"March","Apolemichthys trimaculatus","2017",1,25000,73,0.0136986301369863
"March","Apolemichthys trimaculatus","2019",1,25000,78,0.0128205128205128
"March","Apolemichthys trimaculatus","2022",1,30000,30,0.0333333333333333
"March","Arothron immaculatus","2012",1,1500,100,0.01
"March","Arothron meleagris","2013",8,13000,63,0.126984126984127
"March","Arothron meleagris","2016",11,20500,240,0.0458333333333333
"March","Arothron meleagris","2017",34,64000,73,0.465753424657534
"March","Arothron meleagris","2018",17,51000,100,0.17
"March","Arothron meleagris","2019",11,33000,78,0.141025641025641
"March","Arothron nigropunctatus","2022",21,99000,30,0.7
"March","Arothron nigropunctatus","2023",23,46000,106,0.216981132075472
"March","Atrosalarias fuscus","2016",24,24000,240,0.1
"March","Atrosalarias fuscus","2017",3,3000,73,0.0410958904109589
"March","Atrosalarias fuscus","2018",16,16000,100,0.16
"March","Atrosalarias fuscus","2019",17,17000,78,0.217948717948718
"March","Atrosalarias fuscus","2023",4,5500,106,0.0377358490566038
"March","Balistapus undulatus","2012",2,2100,100,0.02
"March","Balistapus undulatus","2016",3,3000,240,0.0125
"March","Balistapus undulatus","2018",7,21000,100,0.07
"March","Balistoides conspicillum","2012",1,50000,100,0.01
"March","Balistoides conspicillum","2018",2,2e+05,100,0.02
"March","Bodianus anthioides","2013",2,30000,63,0.0317460317460317
"March","Bodianus axillaris","2016",1,2500,240,0.00416666666666667
"March","Bodianus axillaris","2017",2,16000,73,0.0273972602739726
"March","Bodianus bimaculatus","2016",1,4000,240,0.00416666666666667
"March","Bodianus bimaculatus","2018",9,45000,100,0.09
"March","Bodianus bimaculatus","2019",10,50000,78,0.128205128205128
"March","Bodianus diana","2016",310,595500,240,1.29166666666667
"March","Bodianus diana","2017",74,154000,73,1.01369863013699
"March","Bodianus diana","2018",130,265500,100,1.3
"March","Bodianus diana","2019",14,28000,78,0.179487179487179
"March","Bodianus diana","2022",12,36000,30,0.4
"March","Bodianus diana","2023",13,24101.2727272727,106,0.122641509433962
"March","Bodianus mesothorax","2016",17,34500,240,0.0708333333333333
"March","Bodianus mesothorax","2017",23,53000,73,0.315068493150685
"March","Bodianus mesothorax","2018",13,28500,100,0.13
"March","Bodianus mesothorax","2019",17,34000,78,0.217948717948718
"March","Bodianus mesothorax","2022",6,24000,30,0.2
"March","Bodianus mesothorax","2023",11,20832.935483871,106,0.10377358490566
"March","Calcinus elegans","2023",155,7163214.28571428,106,1.4622641509434
"March","Cantherhines pardalis","2012",2,1250,100,0.02
"March","Canthigaster epilampra","2012",6,5750,100,0.06
"March","Canthigaster solandri","2022",2,6000,30,0.0666666666666667
"March","Canthigaster solandri","2023",27,69000,106,0.254716981132075
"March","Canthigaster valentini","2012",20,18750,100,0.2
"March","Canthigaster valentini","2016",48,48000,240,0.2
"March","Canthigaster valentini","2017",29,50000,73,0.397260273972603
"March","Canthigaster valentini","2018",43,56500,100,0.43
"March","Canthigaster valentini","2019",23,23000,78,0.294871794871795
"March","Canthigaster valentini","2022",75,256000,30,2.5
"March","Canthigaster valentini","2023",57,162250,106,0.537735849056604
"March","Centropyge bicolor","2012",17,42483.498349835,100,0.17
"March","Centropyge bicolor","2013",64,225750,63,1.01587301587302
"March","Centropyge bicolor","2016",33,109000,240,0.1375
"March","Centropyge bicolor","2017",19,97250,73,0.26027397260274
"March","Centropyge bicolor","2018",30,135000,100,0.3
"March","Centropyge bicolor","2019",85,327500,78,1.08974358974359
"March","Centropyge bicolor","2022",122,1015000,30,4.06666666666667
"March","Centropyge bicolor","2023",210,1116000,106,1.9811320754717
"March","Centropyge bispinosus","2012",1,3000,100,0.01
"March","Centropyge bispinosus","2019",1,10000,78,0.0128205128205128
"March","Centropyge eibli","2012",21,61959.7701149425,100,0.21
"March","Centropyge eibli","2016",33,106750,240,0.1375
"March","Centropyge eibli","2017",40,156000,73,0.547945205479452
"March","Centropyge eibli","2018",9,45000,100,0.09
"March","Centropyge eibli","2019",11,52500,78,0.141025641025641
"March","Centropyge eibli","2022",26,201500,30,0.866666666666667
"March","Centropyge eibli","2023",35,145000,106,0.330188679245283
"March","Centropyge flavicauda","2012",2,2000,100,0.02
"March","Centropyge nox","2012",4,7500,100,0.04
"March","Centropyge nox","2013",7,10500,63,0.111111111111111
"March","Centropyge nox","2017",1,4500,73,0.0136986301369863
"March","Centropyge nox","2019",1,2500,78,0.0128205128205128
"March","Centropyge nox","2022",5,25000,30,0.166666666666667
"March","Centropyge nox","2023",19,38000,106,0.179245283018868
"March","Centropyge tibicen","2012",14,26876.953125,100,0.14
"March","Centropyge tibicen","2016",43,77500,240,0.179166666666667
"March","Centropyge tibicen","2017",4,9000,73,0.0547945205479452
"March","Centropyge tibicen","2018",27,68000,100,0.27
"March","Centropyge tibicen","2019",14,35000,78,0.179487179487179
"March","Centropyge tibicen","2022",32,158000,30,1.06666666666667
"March","Centropyge tibicen","2023",4,6000,106,0.0377358490566038
"March","Centropyge vroliki","2016",112,164750,240,0.466666666666667
"March","Centropyge vroliki","2017",12,18000,73,0.164383561643836
"March","Centropyge vroliki","2018",21,27000,100,0.21
"March","Centropyge vroliki","2019",41,59000,78,0.525641025641026
"March","Centropyge vroliki","2022",32,119000,30,1.06666666666667
"March","Centropyge vroliki","2023",71,178000,106,0.669811320754717
"March","Centropyge vrolikii","2012",44,49118.7214611872,100,0.44
"March","Cephalopholis miniata","2016",8,24000,240,0.0333333333333333
"March","Cetoscarus bicolor","2016",4,20000,240,0.0166666666666667
"March","Cetoscarus bicolor","2022",8,120000,30,0.266666666666667
"March","Chaetodon Sp","2023",77,115500,106,0.726415094339623
"March","Chaetodon adiergastos","2016",3,3000,240,0.0125
"March","Chaetodon auriga","2016",2,2000,240,0.00833333333333333
